FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,276 -> 275,4,20000,0
2,276 -> 275,4,20000,0
3,276 -> 275,4,12000,8000
4,276 -> 275,4,12000,8000
5,276 -> 275,4,20000,0
6,276 -> 275,4,16000,4000
7,276 -> 275,4,16000,4000
8,276 -> 275,4,12000,8000
9,276 -> 275,4,20000,0
10,276 -> 275,4,4000,16000
11,276 -> 275,4,8000,12000
12,276 -> 275,4,8000,12000
13,276 -> 275,4,16000,4000
14,276 -> 275,4,20000,0
15,276 -> 275,4,12000,8000
16,276 -> 275,4,8000,12000
17,276 -> 275,4,12000,8000
18,276 -> 275,5,4000,16000
19,276 -> 275,5,16000,4000
20,276 -> 275,4,4000,16000
21,276 -> 275,4,12000,8000
22,276 -> 275,4,16000,4000
23,276 -> 275,4,4000,16000
24,276 -> 275,4,20000,0
25,277 -> 276,4,12000,8000
26,277 -> 276,4,8000,12000
27,277 -> 276,4,16000,4000
28,277 -> 276,4,20000,0
29,277 -> 276,4,20000,0
30,277 -> 276,4,20000,0
31,277 -> 276,4,8000,12000
32,277 -> 276,4,12000,8000
33,277 -> 276,4,20000,0
34,277 -> 276,4,4000,16000
35,277 -> 276,4,20000,0
36,277 -> 276,4,4000,16000
37,277 -> 276,4,16000,4000
38,277 -> 276,4,20000,0
39,277 -> 276,4,16000,4000
40,277 -> 276,4,20000,0
41,277 -> 276,4,20000,0
42,277 -> 276,4,20000,0
43,277 -> 276,4,20000,0
44,277 -> 276,5,20000,0
45,277 -> 276,5,20000,0
46,277 -> 276,4,8000,12000
47,277 -> 276,4,16000,4000
48,277 -> 276,4,20000,0
49,277 -> 276,4,8000,12000
50,277 -> 276,4,20000,0
