FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,577 -> 576,5,20000,0
2,577 -> 576,5,4000,16000
3,577 -> 576,5,20000,0
4,577 -> 576,5,20000,0
5,577 -> 576,5,12000,8000
6,577 -> 576,5,20000,0
7,577 -> 576,5,20000,0
8,577 -> 576,5,8000,12000
9,577 -> 576,5,20000,0
10,577 -> 576,5,4000,16000
11,577 -> 576,5,20000,0
12,577 -> 576,5,20000,0
13,577 -> 576,5,20000,0
14,577 -> 576,5,8000,12000
15,577 -> 576,5,20000,0
16,577 -> 576,5,20000,0
17,577 -> 576,5,20000,0
18,577 -> 576,5,20000,0
19,578 -> 577,4,20000,0
20,578 -> 577,4,20000,0
21,578 -> 577,4,16000,4000
22,578 -> 577,4,20000,0
23,578 -> 577,4,20000,0
24,578 -> 577,4,20000,0
25,578 -> 577,4,20000,0
26,578 -> 577,5,8000,12000
27,578 -> 577,5,4000,16000
28,578 -> 577,5,20000,0
29,578 -> 577,5,4000,16000
30,578 -> 577,5,4000,16000
31,578 -> 577,4,20000,0
32,578 -> 577,5,12000,8000
33,578 -> 577,5,0,20000
34,578 -> 577,5,8000,12000
35,578 -> 577,5,4000,16000
36,578 -> 577,5,8000,12000
37,578 -> 577,5,20000,0
38,578 -> 577,5,20000,0
39,578 -> 577,5,20000,0
40,578 -> 577,5,0,20000
41,578 -> 577,5,8000,12000
42,578 -> 577,5,20000,0
43,578 -> 577,5,20000,0
44,578 -> 577,5,4000,16000
45,579 -> 578,4,16000,4000
46,579 -> 578,4,4000,16000
47,579 -> 578,4,8000,12000
48,579 -> 578,4,20000,0
49,579 -> 578,4,20000,0
50,579 -> 578,4,20000,0
