FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,1106 -> 1105,5,8000,12000
2,1106 -> 1105,5,8000,12000
3,1106 -> 1105,5,20000,0
4,1106 -> 1105,5,20000,0
5,1106 -> 1105,5,20000,0
6,1106 -> 1105,5,12000,8000
7,1106 -> 1105,5,20000,0
8,1106 -> 1105,5,20000,0
9,1106 -> 1105,5,16000,4000
10,1106 -> 1105,5,20000,0
11,1106 -> 1105,5,8000,12000
12,1106 -> 1105,5,20000,0
13,1106 -> 1105,5,20000,0
14,1106 -> 1105,5,8000,12000
15,1106 -> 1105,5,0,20000
16,1106 -> 1105,5,4000,16000
17,1106 -> 1105,5,20000,0
18,1106 -> 1105,5,20000,0
19,1106 -> 1105,5,20000,0
20,1107 -> 1106,5,20000,0
21,1107 -> 1106,5,20000,0
22,1107 -> 1106,5,20000,0
23,1107 -> 1106,5,20000,0
24,1107 -> 1106,5,16000,4000
25,1107 -> 1106,5,0,20000
26,1107 -> 1106,5,0,20000
27,1107 -> 1106,5,8000,12000
28,1107 -> 1106,5,20000,0
29,1107 -> 1106,5,20000,0
30,1107 -> 1106,5,12000,8000
31,1107 -> 1106,5,20000,0
32,1107 -> 1106,5,20000,0
33,1107 -> 1106,5,8000,12000
34,1107 -> 1106,5,20000,0
35,1107 -> 1106,5,20000,0
36,1107 -> 1106,5,20000,0
37,1107 -> 1106,5,20000,0
38,1107 -> 1106,5,20000,0
39,1107 -> 1106,5,20000,0
40,1107 -> 1106,5,0,20000
41,1107 -> 1106,5,12000,8000
42,1107 -> 1106,5,20000,0
43,1107 -> 1106,5,20000,0
44,1107 -> 1106,5,0,20000
45,1107 -> 1106,5,16000,4000
46,1108 -> 1107,5,20000,0
47,1108 -> 1107,5,20000,0
48,1108 -> 1107,5,20000,0
49,1108 -> 1107,5,0,20000
50,1108 -> 1107,5,16000,4000
