FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,530 -> 529,5,0,20000
2,530 -> 529,5,4000,16000
3,530 -> 529,5,20000,0
4,530 -> 529,5,8000,12000
5,530 -> 529,5,4000,16000
6,530 -> 529,5,20000,0
7,530 -> 529,5,20000,0
8,530 -> 529,5,12000,8000
9,530 -> 529,4,8000,12000
10,530 -> 529,4,4000,16000
11,530 -> 529,4,20000,0
12,531 -> 530,2,20000,0
13,531 -> 530,2,20000,0
14,531 -> 530,2,20000,0
15,531 -> 530,2,20000,0
16,531 -> 530,2,20000,0
17,531 -> 530,2,16000,4000
18,531 -> 530,4,8000,12000
19,531 -> 530,4,20000,0
20,531 -> 530,5,20000,0
21,531 -> 530,5,20000,0
22,531 -> 530,5,0,20000
23,531 -> 530,5,12000,8000
24,531 -> 530,5,20000,0
25,531 -> 530,5,20000,0
26,531 -> 530,5,20000,0
27,531 -> 530,5,12000,8000
28,531 -> 530,5,20000,0
29,531 -> 530,5,20000,0
30,531 -> 530,5,20000,0
31,531 -> 530,5,20000,0
32,531 -> 530,5,20000,0
33,531 -> 530,5,20000,0
34,531 -> 530,5,20000,0
35,531 -> 530,4,16000,4000
36,531 -> 530,4,20000,0
37,531 -> 530,4,4000,16000
38,532 -> 531,2,20000,0
39,532 -> 531,2,20000,0
40,532 -> 531,2,20000,0
41,532 -> 531,2,12000,8000
42,532 -> 531,2,20000,0
43,532 -> 531,2,20000,0
44,532 -> 531,4,20000,0
45,532 -> 531,4,20000,0
46,532 -> 531,5,16000,4000
47,532 -> 531,5,20000,0
48,532 -> 531,5,16000,4000
49,532 -> 531,5,8000,12000
50,532 -> 531,5,20000,0
