FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,276 -> 275,4,12000,8000
2,276 -> 275,4,4000,16000
3,276 -> 275,4,4000,16000
4,276 -> 275,4,8000,12000
5,276 -> 275,4,20000,0
6,276 -> 275,4,12000,8000
7,276 -> 275,4,20000,0
8,276 -> 275,4,16000,4000
9,276 -> 275,4,12000,8000
10,276 -> 275,4,16000,4000
11,276 -> 275,4,12000,8000
12,276 -> 275,4,4000,16000
13,276 -> 275,4,4000,16000
14,276 -> 275,4,20000,0
15,276 -> 275,4,4000,16000
16,276 -> 275,4,16000,4000
17,276 -> 275,4,20000,0
18,276 -> 275,5,20000,0
19,276 -> 275,5,20000,0
20,276 -> 275,4,16000,4000
21,276 -> 275,4,4000,16000
22,276 -> 275,4,20000,0
23,276 -> 275,4,20000,0
24,276 -> 275,4,20000,0
25,277 -> 276,4,20000,0
26,277 -> 276,4,4000,16000
27,277 -> 276,4,20000,0
28,277 -> 276,4,20000,0
29,277 -> 276,4,12000,8000
30,277 -> 276,4,20000,0
31,277 -> 276,4,4000,16000
32,277 -> 276,4,20000,0
33,277 -> 276,4,16000,4000
34,277 -> 276,4,8000,12000
35,277 -> 276,4,20000,0
36,277 -> 276,4,4000,16000
37,277 -> 276,4,8000,12000
38,277 -> 276,4,4000,16000
39,277 -> 276,4,20000,0
40,277 -> 276,4,20000,0
41,277 -> 276,4,4000,16000
42,277 -> 276,4,20000,0
43,277 -> 276,4,20000,0
44,277 -> 276,5,4000,16000
45,277 -> 276,5,0,20000
46,277 -> 276,4,20000,0
47,277 -> 276,4,16000,4000
48,277 -> 276,4,16000,4000
49,277 -> 276,4,20000,0
50,277 -> 276,4,8000,12000
