FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,576 -> 577,5,20000,0
2,576 -> 577,5,20000,0
3,576 -> 577,5,12000,8000
4,576 -> 577,5,20000,0
5,576 -> 577,5,20000,0
6,576 -> 577,5,0,20000
7,576 -> 577,5,20000,0
8,576 -> 577,5,20000,0
9,576 -> 577,5,0,20000
10,576 -> 577,5,8000,12000
11,576 -> 577,5,20000,0
12,576 -> 577,5,16000,4000
13,576 -> 577,5,16000,4000
14,576 -> 577,5,16000,4000
15,576 -> 577,5,20000,0
16,576 -> 577,5,12000,8000
17,576 -> 577,5,12000,8000
18,576 -> 577,5,16000,4000
19,577 -> 578,5,0,20000
20,577 -> 578,5,8000,12000
21,577 -> 578,5,20000,0
22,577 -> 578,5,12000,8000
23,577 -> 578,5,0,20000
24,577 -> 578,5,20000,0
25,577 -> 578,5,0,20000
26,577 -> 578,5,4000,16000
27,577 -> 578,5,0,20000
28,577 -> 578,5,0,20000
29,577 -> 578,5,0,20000
30,577 -> 578,5,0,20000
31,577 -> 578,5,20000,0
32,577 -> 578,5,12000,8000
33,577 -> 578,5,20000,0
34,577 -> 578,5,20000,0
35,577 -> 578,5,4000,16000
36,577 -> 578,5,16000,4000
37,577 -> 578,5,0,20000
38,577 -> 578,5,0,20000
39,577 -> 578,5,16000,4000
40,577 -> 578,5,20000,0
41,577 -> 578,5,0,20000
42,577 -> 578,5,12000,8000
43,577 -> 578,5,4000,16000
44,577 -> 578,5,20000,0
45,578 -> 579,5,0,20000
46,578 -> 579,5,20000,0
47,578 -> 579,5,20000,0
48,578 -> 579,5,16000,4000
49,578 -> 579,5,4000,16000
50,578 -> 579,5,20000,0
