FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,576 -> 577,5,20000,0
2,576 -> 577,4,20000,0
3,576 -> 577,4,20000,0
4,576 -> 577,5,20000,0
5,576 -> 577,5,20000,0
6,576 -> 577,3,20000,0
7,576 -> 577,5,4000,16000
8,576 -> 577,5,0,20000
9,576 -> 577,4,20000,0
10,576 -> 577,3,20000,0
11,576 -> 577,5,20000,0
12,576 -> 577,5,8000,12000
13,576 -> 577,5,20000,0
14,576 -> 577,3,20000,0
15,576 -> 577,5,20000,0
16,576 -> 577,5,20000,0
17,576 -> 577,5,20000,0
18,576 -> 577,3,16000,4000
19,577 -> 578,4,20000,0
20,577 -> 578,5,0,20000
21,577 -> 578,4,20000,0
22,577 -> 578,4,20000,0
23,577 -> 578,5,0,20000
24,577 -> 578,5,8000,12000
25,577 -> 578,5,0,20000
26,577 -> 578,4,20000,0
27,577 -> 578,4,20000,0
28,577 -> 578,5,8000,12000
29,577 -> 578,4,20000,0
30,577 -> 578,5,20000,0
31,577 -> 578,5,20000,0
32,577 -> 578,4,20000,0
33,577 -> 578,3,12000,8000
34,577 -> 578,5,20000,0
35,577 -> 578,5,20000,0
36,577 -> 578,5,20000,0
37,577 -> 578,5,4000,16000
38,577 -> 578,3,20000,0
39,577 -> 578,4,12000,8000
40,577 -> 578,4,12000,8000
41,577 -> 578,5,20000,0
42,577 -> 578,5,4000,16000
43,577 -> 578,5,8000,12000
44,577 -> 578,4,20000,0
45,578 -> 579,4,16000,4000
46,578 -> 579,5,20000,0
47,578 -> 579,4,20000,0
48,578 -> 579,5,20000,0
49,578 -> 579,5,0,20000
50,578 -> 579,5,20000,0
