FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,530 -> 529,5,20000,0
2,530 -> 529,5,0,20000
3,530 -> 529,5,20000,0
4,530 -> 529,5,8000,12000
5,530 -> 529,5,0,20000
6,530 -> 529,5,20000,0
7,530 -> 529,5,4000,16000
8,530 -> 529,5,20000,0
9,530 -> 529,4,8000,12000
10,530 -> 529,4,12000,8000
11,530 -> 529,4,4000,16000
12,531 -> 530,2,20000,0
13,531 -> 530,2,20000,0
14,531 -> 530,2,16000,4000
15,531 -> 530,2,20000,0
16,531 -> 530,2,12000,8000
17,531 -> 530,2,20000,0
18,531 -> 530,4,16000,4000
19,531 -> 530,4,20000,0
20,531 -> 530,5,0,20000
21,531 -> 530,5,20000,0
22,531 -> 530,5,20000,0
23,531 -> 530,5,16000,4000
24,531 -> 530,5,0,20000
25,531 -> 530,5,12000,8000
26,531 -> 530,5,0,20000
27,531 -> 530,5,4000,16000
28,531 -> 530,5,20000,0
29,531 -> 530,5,0,20000
30,531 -> 530,5,0,20000
31,531 -> 530,5,16000,4000
32,531 -> 530,5,20000,0
33,531 -> 530,5,0,20000
34,531 -> 530,5,20000,0
35,531 -> 530,4,16000,4000
36,531 -> 530,4,4000,16000
37,531 -> 530,4,20000,0
38,532 -> 531,2,16000,4000
39,532 -> 531,2,20000,0
40,532 -> 531,2,20000,0
41,532 -> 531,2,12000,8000
42,532 -> 531,2,20000,0
43,532 -> 531,2,20000,0
44,532 -> 531,4,12000,8000
45,532 -> 531,4,4000,16000
46,532 -> 531,5,20000,0
47,532 -> 531,5,12000,8000
48,532 -> 531,5,20000,0
49,532 -> 531,5,20000,0
50,532 -> 531,5,8000,12000
