FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,576 -> 577,4,20000,0
2,576 -> 577,4,8000,12000
3,576 -> 577,4,20000,0
4,576 -> 577,5,8000,12000
5,576 -> 577,5,12000,8000
6,576 -> 577,3,20000,0
7,576 -> 577,4,20000,0
8,576 -> 577,5,20000,0
9,576 -> 577,5,20000,0
10,576 -> 577,5,20000,0
11,576 -> 577,5,12000,8000
12,576 -> 577,4,20000,0
13,576 -> 577,3,20000,0
14,576 -> 577,3,12000,8000
15,576 -> 577,4,20000,0
16,576 -> 577,5,20000,0
17,576 -> 577,3,20000,0
18,576 -> 577,4,8000,12000
19,577 -> 578,4,20000,0
20,577 -> 578,5,20000,0
21,577 -> 578,5,0,20000
22,577 -> 578,5,20000,0
23,577 -> 578,5,20000,0
24,577 -> 578,5,20000,0
25,577 -> 578,5,20000,0
26,577 -> 578,5,20000,0
27,577 -> 578,5,20000,0
28,577 -> 578,3,20000,0
29,577 -> 578,5,4000,16000
30,577 -> 578,5,20000,0
31,577 -> 578,5,8000,12000
32,577 -> 578,3,20000,0
33,577 -> 578,5,20000,0
34,577 -> 578,5,8000,12000
35,577 -> 578,5,0,20000
36,577 -> 578,5,20000,0
37,577 -> 578,5,20000,0
38,577 -> 578,5,20000,0
39,577 -> 578,5,8000,12000
40,577 -> 578,5,0,20000
41,577 -> 578,5,20000,0
42,577 -> 578,3,12000,8000
43,577 -> 578,5,20000,0
44,577 -> 578,4,20000,0
45,578 -> 579,5,20000,0
46,578 -> 579,4,20000,0
47,578 -> 579,5,20000,0
48,578 -> 579,5,20000,0
49,578 -> 579,4,20000,0
50,578 -> 579,4,20000,0
