FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,276 -> 275,4,4000,16000
2,276 -> 275,4,8000,12000
3,276 -> 275,4,16000,4000
4,276 -> 275,4,20000,0
5,276 -> 275,4,20000,0
6,276 -> 275,4,20000,0
7,276 -> 275,4,8000,12000
8,276 -> 275,4,8000,12000
9,276 -> 275,4,12000,8000
10,276 -> 275,4,4000,16000
11,276 -> 275,4,12000,8000
12,276 -> 275,4,20000,0
13,276 -> 275,4,4000,16000
14,276 -> 275,4,20000,0
15,276 -> 275,4,8000,12000
16,276 -> 275,4,20000,0
17,276 -> 275,4,4000,16000
18,276 -> 275,5,16000,4000
19,276 -> 275,5,0,20000
20,276 -> 275,4,20000,0
21,276 -> 275,4,20000,0
22,276 -> 275,4,12000,8000
23,276 -> 275,4,20000,0
24,276 -> 275,4,20000,0
25,277 -> 276,4,20000,0
26,277 -> 276,4,20000,0
27,277 -> 276,4,8000,12000
28,277 -> 276,4,12000,8000
29,277 -> 276,4,20000,0
30,277 -> 276,4,4000,16000
31,277 -> 276,4,8000,12000
32,277 -> 276,4,20000,0
33,277 -> 276,4,12000,8000
34,277 -> 276,4,20000,0
35,277 -> 276,4,4000,16000
36,277 -> 276,4,20000,0
37,277 -> 276,4,4000,16000
38,277 -> 276,4,8000,12000
39,277 -> 276,4,20000,0
40,277 -> 276,4,20000,0
41,277 -> 276,4,4000,16000
42,277 -> 276,4,20000,0
43,277 -> 276,4,20000,0
44,277 -> 276,5,0,20000
45,277 -> 276,5,0,20000
46,277 -> 276,4,4000,16000
47,277 -> 276,4,12000,8000
48,277 -> 276,4,20000,0
49,277 -> 276,4,20000,0
50,277 -> 276,4,12000,8000
